iter	Passed	Remaining
815	1136	256
816	1137	254
817	1138	253
818	1139	251
819	1140	250
820	1141	248
821	1142	247
822	1144	246
823	1145	244
824	1146	243
825	1147	241
826	1148	240
827	1149	238
828	1150	237
829	1151	235
830	1153	234
831	1154	233
832	1155	231
833	1156	230
834	1158	228
835	1159	227
836	1160	225
837	1161	224
838	1162	223
839	1163	221
840	1164	220
841	1166	218
842	1167	217
843	1168	215
844	1169	214
845	1170	213
846	1171	211
847	1173	210
848	1174	208
849	1175	207
850	1176	206
851	1177	204
852	1179	203
853	1180	201
854	1181	200
855	1182	198
856	1183	197
857	1184	196
858	1185	194
859	1186	193
860	1187	191
861	1189	190
862	1190	188
863	1191	187
864	1192	186
865	1193	184
866	1194	183
867	1195	181
868	1196	180
869	1197	178
870	1199	177
871	1200	176
872	1201	174
873	1202	173
874	1203	171
875	1205	170
876	1206	169
877	1207	167
878	1208	166
879	1209	164
880	1210	163
881	1212	162
882	1213	160
883	1214	159
884	1215	157
885	1216	156
886	1218	155
887	1219	153
888	1220	152
889	1221	150
890	1222	149
891	1223	148
892	1225	146
893	1226	145
894	1227	144
895	1228	142
896	1229	141
897	1231	139
898	1232	138
899	1233	137
900	1234	135
901	1235	134
902	1236	132
903	1237	131
904	1238	130
905	1240	128
906	1241	127
907	1242	125
908	1243	124
909	1244	123
910	1245	121
911	1246	120
912	1247	118
913	1248	117
914	1250	116
915	1251	114
916	1252	113
917	1253	111
918	1254	110
919	1255	109
920	1256	107
921	1258	106
922	1259	105
923	1260	103
924	1261	102
925	1262	100
926	1263	99
927	1264	98
928	1266	96
929	1267	95
930	1268	94
931	1269	92
932	1270	91
933	1271	89
934	1272	88
935	1273	87
936	1275	85
937	1276	84
938	1277	82
939	1278	81
940	1279	80
941	1280	78
942	1281	77
943	1283	76
944	1284	74
945	1285	73
946	1286	71
947	1287	70
948	1288	69
949	1290	67
950	1291	66
951	1292	65
952	1293	63
953	1294	62
954	1295	61
955	1296	59
956	1298	58
957	1299	56
958	1300	55
959	1301	54
960	1302	52
961	1303	51
962	1304	50
963	1305	48
964	1306	47
965	1308	46
966	1309	44
967	1310	43
968	1311	41
969	1312	40
970	1313	39
971	1314	37
972	1316	36
973	1317	35
974	1318	33
975	1319	32
976	1321	31
977	1322	29
978	1323	28
979	1324	27
980	1325	25
981	1326	24
982	1327	22
983	1328	21
984	1330	20
985	1331	18
986	1332	17
987	1333	16
988	1334	14
989	1335	13
990	1336	12
991	1338	10
992	1339	9
993	1340	8
994	1341	6
995	1342	5
996	1343	4
997	1344	2
998	1345	1
999	1346	0
